Wall time,Step,Value
1678887149.1781478,49,6.4481048583984375
1678887325.7500644,99,6.339080810546875
1678887502.147977,149,6.217041015625
1678887678.7465966,199,6.17218017578125
1678887855.1748607,249,6.1241607666015625
1678888031.6907382,299,6.112640380859375
1678888207.9309251,349,6.0860137939453125
1678888384.4329493,399,6.0263519287109375
1678888560.9602373,449,6.015533447265625
1678888737.4170341,499,6.00396728515625
1678888942.3616197,549,6.0259857177734375
1678889118.9815617,599,6.0056915283203125
1678889295.751726,649,5.9800872802734375
1678889472.5553284,699,5.971649169921875
1678889649.3877637,749,5.9701995849609375
1678889826.568522,799,5.982330322265625
1678890003.5159202,849,5.9686126708984375
1678890180.1911254,899,5.967803955078125
1678890357.003597,949,5.95361328125
1678890533.7230844,999,5.9605712890625
1678890740.748367,1049,5.9365386962890625
1678890917.4180582,1099,5.9611663818359375
1678891093.7881813,1149,5.95013427734375
1678891270.3604007,1199,5.9550018310546875
1678891446.8460274,1249,5.9513092041015625
1678891623.170709,1299,5.9497833251953125
1678891799.6921144,1349,5.9349212646484375
1678891976.3935583,1399,5.9455108642578125
1678892153.1486819,1449,5.9374847412109375
1678892329.6089077,1499,5.9301605224609375
1678892535.390371,1549,5.957122802734375
1678892712.1283305,1599,5.9314422607421875
1678892888.7889307,1649,5.9378662109375
1678893064.8683367,1699,5.928558349609375
1678893241.0366564,1749,5.92645263671875
1678893417.32106,1799,5.930389404296875
1678893593.4833605,1849,5.9221038818359375
1678893769.6779082,1899,5.9254302978515625
1678893945.9519606,1949,5.918792724609375
1678894122.0879142,1999,5.9134674072265625
1678894335.6303911,2049,5.9333038330078125
1678894512.4073691,2099,5.9129180908203125
1678894689.2698548,2149,5.9137115478515625
1678894865.7854068,2199,5.91802978515625
1678895042.5287385,2249,5.92431640625
1678895219.1045635,2299,5.8978118896484375
1678895395.78729,2349,5.911285400390625
1678895572.5114274,2399,5.9150238037109375
1678895749.1557624,2449,5.9082794189453125
1678895926.0615027,2499,5.894256591796875
1678896130.7715983,2549,5.8967742919921875
1678896308.3761723,2599,5.9008331298828125
1678896485.5378444,2649,5.8963775634765625
1678896662.7454112,2699,5.8991851806640625
1678896839.8074906,2749,5.88250732421875
1678897016.7980723,2799,5.9194488525390625
1678897193.829522,2849,5.9024200439453125
1678897371.0110917,2899,5.8972015380859375
1678897548.235371,2949,5.899810791015625
1678897725.5087793,2999,5.8928680419921875
1678897933.3846025,3049,5.9025115966796875
1678898110.6647344,3099,5.892364501953125
1678898287.335066,3149,5.8774261474609375
1678898464.2182484,3199,5.889862060546875
1678898640.761809,3249,5.89971923828125
1678898817.465345,3299,5.8890533447265625
1678898993.9778283,3349,5.8905181884765625
1678899170.6250818,3399,5.8842620849609375
1678899346.944898,3449,5.882415771484375
1678899523.4730992,3499,5.8906707763671875
1678899699.6114562,3549,5.8908843994140625
1678899906.0191636,3599,5.888671875
1678900082.4493673,3649,5.9094696044921875
1678900258.7758477,3699,5.8907928466796875
1678900434.983215,3749,5.8793792724609375
1678900611.2272556,3799,5.894317626953125
1678900787.8407516,3849,5.884979248046875
1678900964.117584,3899,5.8946685791015625
1678901140.282978,3949,5.896820068359375
1678901316.6921144,3999,5.8704833984375
1678901493.1456058,4049,5.8922882080078125
1678901700.152241,4099,5.8841400146484375
1678901876.6156402,4149,5.8925018310546875
1678902052.9670012,4199,5.8745880126953125
1678902229.5033906,4249,5.887115478515625
1678902406.086022,4299,5.9033966064453125
1678902582.7907064,4349,5.88299560546875
1678902759.27119,4399,5.88885498046875
1678902935.6516,4449,5.8841400146484375
1678903112.1189227,4499,5.8856048583984375
1678903288.697676,4549,5.87152099609375
1678903493.8908663,4599,5.8720550537109375
1678903670.456382,4649,5.8816375732421875
1678903847.0096827,4699,5.8984375
1678904023.5566154,4749,5.890045166015625
1678904200.25602,4799,5.8726959228515625
1678904376.8423753,4849,5.8680877685546875
1678904553.3232498,4899,5.888336181640625
1678904729.911275,4949,5.879180908203125
1678904906.4700394,4999,5.881378173828125
1678905082.8505182,5049,5.87188720703125
1678905287.8731909,5099,5.8728179931640625
1678905464.5681932,5149,5.8751068115234375
1678905641.0612004,5199,5.86871337890625
1678905817.5567298,5249,5.8654632568359375
1678905994.0122802,5299,5.864013671875
1678906170.8295689,5349,5.8608245849609375
1678906347.172055,5399,5.876220703125
1678906523.767021,5449,5.8791961669921875
1678906700.3173108,5499,5.8656768798828125
1678906876.6598737,5549,5.873687744140625
1678907085.091037,5599,5.882537841796875
1678907262.0897202,5649,5.865142822265625
1678907438.6567156,5699,5.8702545166015625
1678907615.6506212,5749,5.8649749755859375
1678907792.0850735,5799,5.8592071533203125
1678907968.6155207,5849,5.873138427734375
1678908144.9211843,5899,5.868621826171875
1678908321.304396,5949,5.891754150390625
1678908497.7798083,5999,5.8734588623046875
1678908674.145495,6049,5.8658447265625
1678908880.2474816,6099,5.874664306640625
1678909057.1420536,6149,5.866912841796875
1678909233.9853265,6199,5.8567047119140625
1678909410.6494815,6249,5.86102294921875
1678909587.12828,6299,5.8780059814453125
